Ref ID,Reference,Propellant type,Test #,Mass (kg),Measurement Distance (m),Burn time (sec),Peak flux (cal/cm^2/s),Av. flux (cal/cm^2/s),Notes,Drum diameter (cm),Type
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,4,1100,12,4,6.020439966,2.271864138,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)",,? Burn (Test Data)
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,4,1100,12,4,9.429416363,3.558270326,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)",,? Burn (Test Data)
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,4,1100,12,4,11.32155464,4.272284769,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)",,? Burn (Test Data)
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,4,1100,9,4,9.757803997,3.682190188,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)",,? Burn (Test Data)
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,5,2300,18,4.7,8.799591033,3.32060039,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)",,? Burn (Test Data)
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,5,2300,15,4.7,3.026952167,1.142246101,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)",,? Burn (Test Data)
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,5,2300,15,4.7,4.821693717,1.819507063,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)",,? Burn (Test Data)
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,5,2300,15,4.7,5.277075901,1.991349397,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)",,? Burn (Test Data)
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,6,4500,27.5,5.4,3.210660748,1.211570094,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)",,? Burn (Test Data)
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,6,4500,24.5,5.4,3.896997648,1.47056515,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)",,? Burn (Test Data)
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,6,4500,21,5.4,2.919840029,1.101826426,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)",,? Burn (Test Data)
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,6,4500,21,5.4,3.071066803,1.158893133,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)",,? Burn (Test Data)
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,6,4500,21,5.4,6.037438147,2.278278546,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)",,? Burn (Test Data)
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,6,4500,21,5.4,6.281727551,2.370463227,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)",,? Burn (Test Data)
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,7,9000,24.5,6.3,3.027161094,1.142324941,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)",,? Burn (Test Data)
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,7,9000,24.5,6.3,3.831722182,1.445932899,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)",,? Burn (Test Data)
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,8,18000,36.5,7.3,5.71239339,2.155620147,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)",,? Burn (Test Data)
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,8,18000,33.5,7.3,12.19861176,4.603249721,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)",,? Burn (Test Data)
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,8,18000,30.5,7.3,5.71239339,2.155620147,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)",,? Burn (Test Data)
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,8,18000,30.5,7.3,7.277432675,2.74620101,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)",,? Burn (Test Data)
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,8,18000,30.5,7.3,8.372960175,3.159607613,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)",,? Burn (Test Data)
MSIAC 1,"Trinkler, ""Thermal Effects in Relation to Ammunition Storage"", 1958",Cordite,8,18000,30.5,7.3,9.129395829,3.44505503,"An ebonite lacquer applied to an aluminium plate was used for radiation measurement. The radiation density was determined on the basis of the amount of melted varnish. Wind strengths between 3-10 m/s were measured during the experiments, resulting in relatively large scattering of the results in the various measurement directions. In reference, no individual values for duration are provided, only relationship t=0.93Q^0.21 (NB average flux calculated from flux density and burn duration; peak flux calculated as 2.65 x average flux)",,? Burn (Test Data)
MSIAC 2,"Brönnimann, ""Thermische Strahlunsdichte beim Abbrand von Treibladungspulver"", Gruppe für Rüstungsdienste, 1977",NC powder / cannon propellant mix,1,3000,0.4,12,1.555907173,0.587134782,Powder spread over approx. 30m^2 (layer thickness 5-15 cm). Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential,,? Burn (Test Data)
MSIAC 2,"Brönnimann, ""Thermische Strahlunsdichte beim Abbrand von Treibladungspulver"", Gruppe für Rüstungsdienste, 1977",NC powder / cannon propellant mix,1,3000,0.3,12,1.756329114,0.662765703,Powder spread over approx. 30m^2 (layer thickness 5-15 cm). Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential,,? Burn (Test Data)
MSIAC 2,"Brönnimann, ""Thermische Strahlunsdichte beim Abbrand von Treibladungspulver"", Gruppe für Rüstungsdienste, 1977",NC powder / cannon propellant mix,1,3000,0.3,12,2.130801688,0.804076109,Powder spread over approx. 30m^2 (layer thickness 5-15 cm). Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential,,? Burn (Test Data)
MSIAC 2,"Brönnimann, ""Thermische Strahlunsdichte beim Abbrand von Treibladungspulver"", Gruppe für Rüstungsdienste, 1977",NC powder / cannon propellant mix,1,3000,0.3,12,2.658227848,1.003104848,Powder spread over approx. 30m^2 (layer thickness 5-15 cm). Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential,,? Burn (Test Data)
MSIAC 2,"Brönnimann, ""Thermische Strahlunsdichte beim Abbrand von Treibladungspulver"", Gruppe für Rüstungsdienste, 1977",NC powder / cannon propellant mix,1,3000,0.2,12,3.085443038,1.164318128,Powder spread over approx. 30m^2 (layer thickness 5-15 cm). Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential,,? Burn (Test Data)
MSIAC 2,"Brönnimann, ""Thermische Strahlunsdichte beim Abbrand von Treibladungspulver"", Gruppe für Rüstungsdienste, 1977",NC powder / cannon propellant mix,1,3000,0.2,12,4.061181435,1.532521296,Powder spread over approx. 30m^2 (layer thickness 5-15 cm). Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential,,? Burn (Test Data)
MSIAC 2,"Brönnimann, ""Thermische Strahlunsdichte beim Abbrand von Treibladungspulver"", Gruppe für Rüstungsdienste, 1977",NC powder / cannon propellant mix,1,3000,0.1,12,4.883966245,1.84300613,Powder spread over approx. 30m^2 (layer thickness 5-15 cm). Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential,,? Burn (Test Data)
MSIAC 2,"Brönnimann, ""Thermische Strahlunsdichte beim Abbrand von Treibladungspulver"", Gruppe für Rüstungsdienste, 1977",NC tubular powder,2,5000,0.4,15,1.405063291,0.530212563,Powder spread over approx. 40m^2 (layer thickness 5-15 cm). Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential,,? Burn (Test Data)
MSIAC 2,"Brönnimann, ""Thermische Strahlunsdichte beim Abbrand von Treibladungspulver"", Gruppe für Rüstungsdienste, 1977",NC tubular powder,2,5000,0.3,15,1.603375527,0.605047369,Powder spread over approx. 40m^2 (layer thickness 5-15 cm). Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential,,? Burn (Test Data)
MSIAC 2,"Brönnimann, ""Thermische Strahlunsdichte beim Abbrand von Treibladungspulver"", Gruppe für Rüstungsdienste, 1977",NC tubular powder,2,5000,0.3,15,2.063291139,0.77860043,Powder spread over approx. 40m^2 (layer thickness 5-15 cm). Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential,,? Burn (Test Data)
MSIAC 2,"Brönnimann, ""Thermische Strahlunsdichte beim Abbrand von Treibladungspulver"", Gruppe für Rüstungsdienste, 1977",NC tubular powder,2,5000,0.3,15,2.286919831,0.862988616,Powder spread over approx. 40m^2 (layer thickness 5-15 cm). Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential,,? Burn (Test Data)
MSIAC 2,"Brönnimann, ""Thermische Strahlunsdichte beim Abbrand von Treibladungspulver"", Gruppe für Rüstungsdienste, 1977",NC tubular powder,2,5000,0.2,15,2.666666667,1.006289308,Powder spread over approx. 40m^2 (layer thickness 5-15 cm). Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential,,? Burn (Test Data)
MSIAC 2,"Brönnimann, ""Thermische Strahlunsdichte beim Abbrand von Treibladungspulver"", Gruppe für Rüstungsdienste, 1977",NC tubular powder,2,5000,0.2,15,3.168776371,1.195764668,Powder spread over approx. 40m^2 (layer thickness 5-15 cm). Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential,,? Burn (Test Data)
MSIAC 2,"Brönnimann, ""Thermische Strahlunsdichte beim Abbrand von Treibladungspulver"", Gruppe für Rüstungsdienste, 1977",NC tubular powder,2,5000,0.1,15,3.848101266,1.452113685,Powder spread over approx. 40m^2 (layer thickness 5-15 cm). Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential,,? Burn (Test Data)
MSIAC 2,"Brönnimann, ""Thermische Strahlunsdichte beim Abbrand von Treibladungspulver"", Gruppe für Rüstungsdienste, 1977",NC tubular powder,2,5000,0.1,15,4.514767932,1.703686012,Powder spread over approx. 40m^2 (layer thickness 5-15 cm). Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential,,? Burn (Test Data)
MSIAC 2,"Brönnimann, ""Thermische Strahlunsdichte beim Abbrand von Treibladungspulver"", Gruppe für Rüstungsdienste, 1977",NC tubular powder,2,5000,0.1,15,4.725738397,1.783297508,Powder spread over approx. 40m^2 (layer thickness 5-15 cm). Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential,,? Burn (Test Data)
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",GP11,1,50,10,24,0.072521097,0.027366452,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential",,? Burn (Test Data)
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",GP11,1,50,10,24,0.086234177,0.032541199,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential",,? Burn (Test Data)
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",GP11,1,50,10,24,0.10021097,0.037815461,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential",,? Burn (Test Data)
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",GP11,1,50,10,24,0.120780591,0.045577581,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential",,? Burn (Test Data)
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",GP11,1,50,5,24,0.387658228,0.146286124,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential",,? Burn (Test Data)
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",GP11,1,50,5,24,0.403481013,0.152256986,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential",,? Burn (Test Data)
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",GP11,1,50,5,24,0.437763713,0.165193854,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential",,? Burn (Test Data)
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",GP11,1,50,5,24,0.52742616,0.19902874,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential",,? Burn (Test Data)
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",GP11,1,50,3,24,0.675105485,0.254756787,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential",,? Burn (Test Data)
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",GP11,1,50,3,24,0.688291139,0.259732505,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential",,? Burn (Test Data)
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",GP11,1,50,3,24,0.759493671,0.286601385,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential",,? Burn (Test Data)
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",GP11,1,50,3,24,0.759493671,0.286601385,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential",,? Burn (Test Data)
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",GP11,1,50,2,24,1.518987342,0.57320277,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential",,? Burn (Test Data)
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",GP11,1,50,2,24,1.550632911,0.585144495,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential",,? Burn (Test Data)
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",GP11,2,100,10,42,0.06615431,0.024963891,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential",,? Burn (Test Data)
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",GP11,2,100,10,42,0.073839662,0.027864024,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential",,? Burn (Test Data)
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",GP11,2,100,10,42,0.07986739,0.030138638,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential",,? Burn (Test Data)
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",GP11,2,100,10,42,0.087402049,0.032981905,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential",,? Burn (Test Data)
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",GP11,2,100,5,42,0.333031947,0.125672433,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential",,? Burn (Test Data)
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",GP11,2,100,5,42,0.336045811,0.12680974,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential",,? Burn (Test Data)
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",GP11,2,100,5,42,0.363170585,0.137045504,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential",,? Burn (Test Data)
MSIAC 3,"Wyssen, ""Abbrandversuche mit Treibladungspulver in Mengen von 10 bis 1000 kg"", Gruppe für Rüstungsdienste / Tecnische Abteilung 6, Feb 1982",GP11,2,100,5,42,0.393309222,0.148418574,"In most tests, the powder was placed in a cylindrical container and ignited at the top. Flux density determined using 2mm thick blackened aluminium plates. Max temperature was determined using irreversible temperature indicators; flux density then calculated using heat capacity of plates and tempreature differential",,? Burn (Test Data)
